관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,,
28170-00001,수봉공원,근린공원,인천광역시 미추홀구 수봉북로 47,인천광역시 미추홀구 주안동 660-241,37.460187,126.664212,332694,배드민턴장+농구장+궁도장+양궁장,조합놀이대+흔들놀이기구,도서관+매점+화장실,자연학습원,현충탑+전망대+인공폭포,1944.1.8,인천광역시 미추홀구청,032-880-4502,2025.1.5,,
28170-00002,석바위공원,근린공원,인천광역시 미추홀구 구월남로 38,인천광역시 미추홀구 주안동 1578,37.454245,126.693651,47005,게이트볼장+배드민턴장,조합놀이대+흔들놀이기구,도서관+노인정+매점+화장실,,,1944.1.8,인천광역시 미추홀구청,032-880-4503,2025.1.5,,어린익공원
28170-00003,미추홀공원,근린공원,인천광역시 미추홀구 학익소로13번길 46,인천광역시 미추홀구 주안동 824,37.446271,126.6702513,38950,게이트볼장+배드민턴장,조합놀이대+흔들놀이기구,주차장+화장실,,분수대,1944.1.8,인천광역시 미추홀구청,032-880-4502,2025.1.5,,
28170-00004,미추홀공원,근린공원,인천광역시 미추홀구 학익소로13번길 46,인천광역시 미추홀구 주안동 824,37.446271,126.6702513,38950,게이트볼장+배드민턴장,조합놀이대+흔들놀이기구,주차장+화장실,,분수대,1944.1.8,인천광역시 미추홀구청,032-880-4502,2025.1.5,,
28170-00005,주안공원,어린이공원,인천광역시 미추홀구 주안서로43번길 20,인천광역시 미추홀구 주안동 281,37.462849,126.676809,7974.2,,조합놀이대+그네+오르기놀이+시소+흔들놀이기구,,,,1975.5.16,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00006,다솔공원,어린이공원,,인천광역시 미추홀구 주안동 1619,37.46082955,126.6950954,2370.2,,조합놀이대+흔들놀이기구,음수전,,,1981.8.14,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00007,관교공원,어린이공원,,인천광역시 미추홀구 관교동 471,37.445956,126.6908331,1698.7,,조합놀이대,,,,1991.6.18,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00008,승학공원,어린이공원,인천광역시 미추홀구 경원대로652번길 19-21,인천광역시 미추홀구 관교동 495,37.44230331,126.693859,1701.3,,조합놀이대+흔들놀이기구,,,,1991.6.18,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00009,신비공원,어린이공원,인천광역시 미추홀구 주승로 154,인천광역시 미추홀구 관교동 516-2,37.445281,126.687507,1514.7,,조합놀이대+그네+흔들놀이기구,음수전,,,1991.6.18,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00010,나리공원,어린이공원,,인천광역시 미추홀구 학익동 52-7,37.44036588,126.6748498,1504,,,,,,1991.10.24,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00011,산성공원,어린이공원,,인천광역시 미추홀구 문학동 403-15,37.434773,126.686625,2461.2,,조합놀이대+그네+흔들놀이기구+회전놀이기구,음수전,,,1992.9.3,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00012,낙섬공원,어린이공원,,인천광역시 미추홀구 용현동 621-38,37.452747,126.636291,655.7,,조합놀이대+흔들놀이기구,,,,1994.6.21,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00013,보람공원,어린이공원,,인천광역시 미추홀구 용현동 622-34,37.453903,126.637155,685.2,,조합놀이대+흔들놀이기구,,,,1994.6.21,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00014,새싹공원,어린이공원,,인천광역시 미추홀구 용현동 623-141,37.454945,126.638868,718.3,,조합놀이대,,,,1994.6.21,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00015,햇님공원,어린이공원,,인천광역시 미추홀구 용현동 619-2,37.451449,126.636003,601.1,,조합놀이대+그네,,,,1994.6.21,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00016,선비공원,어린이공원,인천광역시 미추홀구 매소홀로475번길 36,인천광역시 미추홀구 학익동 51,37.44151017,126.6756033,3150,,조합놀이대+그네+시소,화장실,,,1994.10.12,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00017,스승공원,어린이공원,,인천광역시 미추홀구 학익동 709-2,37.437841,126.6561692,2048.1,,조합놀이대,,,,1999.5.17,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00018,노적공원,어린이공원,,인천광역시 미추홀구 학익동 712,37.43760706,126.6526999,2426.5,,조합놀이대+흔들놀이기구,,,,1999.6.30,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00019,묵동공원,어린이공원,,인천광역시 미추홀구 학익동 677-3,37.439235,126.6710834,1500,,조합놀이대+흔들놀이기구+그네,,,,1999.6.30,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00020,양토공원,어린이공원,,인천광역시 미추홀구 학익동 704-3,37.438253,126.6585122,1500.2,,조합놀이대,,,,1999.6.30,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00021,제운공원,어린이공원,,인천광역시 미추홀구 학익동 686-11,37.438513,126.667366,2178.8,,조합놀이대,,,,1999.6.30,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00022,학골공원,어린이공원,,인천광역시 미추홀구 학익동 693-3,37.43881223,126.6627419,1503.9,,조합놀이대+흔들놀이기구,,,,1999.6.30,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00023,관청공원,어린이공원,,인천광역시 미추홀구 문학동 336-6,37.43968751,126.680536,1485.6,,조합놀이대,,,,2001.4.9,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00024,지석공원,어린이공원,,인천광역시 미추홀구 문학동 391-20,37.436416,126.684392,1800.3,,조합놀이대+그네,,,,2001.4.9,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00025,염창공원,어린이공원,,인천광역시 미추홀구 주안동 26-44,37.46640235,126.6764205,2105.3,,조합놀이대+흔들놀이기구,,,,2001.7.6,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00026,학산공원,어린이공원,,인천광역시 미추홀구 학익동 662,37.43888579,126.6747258,1182.9,,,,,벽천분수,2002.5.1,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00027,용정공원,근린공원,인천광역시 미추홀구 낙섬동로 68-26,인천광역시 미추홀구 용현동 615-1,37.450961,126.6419813,29552,배드민턴장+농구장,,화장실,야생초화원,인공폭포,2002.5.9,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00028,재넘이어린이공원,어린이공원,,인천광역시 미추홀구 학익동 336-5일원,37.4472601,126.6606029,10187,,조합놀이대+그네+흔들놀이기구,음수전,,,2004.3.15,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00029,모리포공원,어린이공원,,인천광역시 미추홀구 학익동 721-6,37.439959,126.659325,5589.7,,조합놀이대+흔들놀이기구+그네,,,,2004.11.16,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00030,한나루공원,어린이공원,,인천광역시 미추홀구 학익동 721-5,37.440426,126.661866,2988,,조합놀이대,,,,2004.11.16,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00031,쑥골공원,어린이공원,,인천광역시 미추홀구 도화동 699-14,37.471253,126.669605,2378.8,,조합놀이대+그네+흔들놀이기구,,,,2006.10.25,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00032,용남공원,어린이공원,인천광역시 미추홀구 경인남길 102번길 135,인천광역시 미추홀구 용현동 14,37.450646,126.666069,3439.3,,조합놀이대+그네+시소,,,,2009.12.21,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00033,제2용정공원,근린공원,인천광역시 미추홀구 용정공원로 28,인천광역시 미추홀구 용현동 666,37.450679,126.642827,29246,,,,,,2010.5.31,인천광역시 미추홀구청,032-880-4503,2025.1.5,,
28170-00034,미니공원,어린이공원,,인천광역시 미추홀구 주안동 1501,37.449139,126.6850056,1653.2,,조합놀이대+흔들놀이기구,,,,2010.5.31,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00035,사미공원,어린이공원,인천광역시 미추홀구 한나루로490번길 96,인천광역시 미추홀구 주안동 1418-93,37.45008774,126.6727097,1652,,조합놀이대+그네,,,,2010.9.20,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00036,학익공원,어린이공원,,인천광역시 미추홀구 학익동 732-5,37.44357933,126.6571792,4611.3,,조합놀이대+그네,,,분수,2010.10.4,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00037,매소홀어린이공원,어린이공원,,인천광역시 미추홀구 학익동 738,37.44194456,126.654548,3006.9,,,,,,2011.9.19,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00038,화동공원,근린공원,인천광역시 미추홀구 숙골로112번길 32,인천광역시 미추홀구 도화동 1007-3,37.473048,126.664747,20176,다목적운동장,조합놀이대+시소+흔들놀이,음수전,,,2013.7.15,인천광역시 미추홀구청,032-880-4503,2025.1.5,,
28170-00039,다솜어린이공원,어린이공원,,인천광역시 미추홀구 용현동 664-1,37.44765452,126.6458302,2572.8,,조합놀이대+그네+흔들놀이기구,,,,2014.4.28,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00040,도담어린이공원,어린이공원,인천광역시 미추홀구 용정공원로 65,인천광역시 미추홀구 용현동 664-5,37.447073,126.642974,4577.9,야외농구장,조합놀이대,화장실,,,2014.4.28,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00041,한마음소공원,소공원,,인천광역시 미추홀구 주안동 1562-1,37.45141721,126.692443,517.4,,,,,,2015.7.27,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00042,돌샘어린이공원,어린이공원,,인천광역시 미추홀구 주안동 19-81,37.46839049,126.6867093,5853.5,,조합놀이대+그네+흔들놀이기구,화장실,,,2019.2.25,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00043,배말근린공원,근린공원,,인천광역시 미추홀구 도화동 994-1,37.47413782,126.6579618,14750,다목적구장,조합놀이대+그네+시소+흔들그물+어드벤처마운틴,,,,2019.3.11,인천광역시 미추홀구청,032-880-4503,2025.1.5,,
28170-00044,궁현어린이공원,어린이공원,,인천광역시 미추홀구 도화동 987-3,37.4758787,126.6637398,3441.3,,조합놀이대+그네+흔들놀이기구+시소,음수전,,,2019.3.11,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00045,서화어린이공원,어린이공원,,인천광역시 미추홀구 도화동 1003-2,37.47466832,126.6621225,5813.7,,조합놀이대+그네+시소,음수전,,,2019.3.11,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00046,송림어린이공원,어린이공원,,인천광역시 미추홀구 도화동 988,37.47630988,126.6603724,3644.4,,조합놀이대+그네+흔들놀이기구,음수전,,,2019.3.11,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00047,석암어린이공원,어린이공원,,인천광역시 미추홀구 주안동 1579-10,37.454458,126.6929048,2318.1,,,,,,2019.5.27,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00048,푸르름어린이공원,어린이공원,,인천광역시 미추홀구 주안동 830-48,37.448105,126.672296,1980,,조합놀이대+그네+흔들놀이기구,음수전,,,2019.12.9,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00049,물방울어린이공원,어린이공원,,인천광역시 미추홀구 주안동 1668,37.44491794,126.6726131,2447,,조합놀이대+그네+흔들놀이기구,음수전,,,2019.12.9,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00050,꽃구름어린이공원,어린이공원,,인천광역시 미추홀구 주안동 1666,37.44507963,126.67353,1773,,미끄럼틀+오르는기구+건너는기구,음수전,,,2019.12.9,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00051,용현도시농업공원,도시농업공원,인천광역시 미추홀구 매소홀로 155,인천광역시 미추홀구 용현동 627-509,37.446178,126.6417841,18540,야외운동기구 8종,,화장실+주차장+음수전,야외학습장,관리사무소+창고,2020.7.20,인천광역시 미추홀구청,032-880-7412,2025.1.5,,
28170-00052,아이그린공원,어린이공원,,인천광역시 미추홀구 학익동 587-6,37.44334601,126.6470017,5284,,조합놀이대+짚라인,화장실,,,2020.10.19,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00053,주인공원,근린공원,,인천광역시 미추홀구 숭의동 440-1,37.45811288,126.648439,29775,체력단련장,,,,녹지,2021.9.6,인천광역시 미추홀구청,032-880-4502,2025.1.5,,
28170-00054,용마루어린이공원,어린이공원,,인천광역시 미추홀구 용현동 692,37.45950961,126.641242,3784.9,,조합놀이대+그네+흔들놀이기구,음수전,,,2022.11.14,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00055,비랑이어린이공원,어린이공원,,인천광역시 미추홀구 용현동 523-32,37.4564863,126.644077,1916.2,,흔들그물+미끄럼틀+오르기놀이,음수전,,,2022.11.14,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00056,승기어린이공원,어린이공원,,인천광역시 미추홀구 주안동 1680,37.45362934,126.6743231,8785.3,,조합놀이대+건너는기구,음수전,,,2023.10.23,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00057,미추어린이공원,어린이공원,,인천광역시 미추홀구 주안동 1681,37.45340772,126.6791862,3238.8,,조합놀이대+흔들놀이기구,음수전,,,2023.10.23,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00058,하늘새어린이공원,어린이공원,,인천광역시 미추홀구 주안동 1545-2번지 일원,37.4567026,126.6917549,6703.6,,조합놀이대+그네+오르기놀이+흔들놀이기구,음수전,,,2024.6.5,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00059,문학소공원,소공원,,인천광역시 미추홀구 문학동 344-1,37.440082,126.683947,786,,,,,,,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00060,두리어린이공원,어린이공원,,인천광역시 미추홀구 주안6동 923-3,37.4599969,126.6925976,1052,,조합놀이대+흔들놀이기구,,,,,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00061,소성어린이공원,어린이공원,,인천광역시 미추홀구 문학동 336-6,37.43968751,126.680556,1486.8,,조합놀이대+그네,음수전,,,,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00062,도천어린이공원,어린이공원,,인천광역시 미추홀구 문학동 351-1,37.43889843,126.6782673,1800,,조합놀이대+그네+흔들놀이기구,음수전,,,,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00063,삼호어린이공원,어린이공원,,인천광역시 미추홀구 문학동 360,37.43799529,126.6803292,3933.3,,조합놀이대+흔들놀이기구,음수전,,,,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00064,관선어린이공원,어린이공원,,인천광역시 미추홀구 문학동 383-7,37.4378999,126.6874996,1610.6,,조합놀이대+그네+흔들놀이기구,음수전,,,,인천광역시 미추홀구청,032-880-4504,2025.1.5,,